Component,Description,Part,References,Value,Footprint,PartNumber,Quantity Per PCB,Spec,Tolerance,Voltage,Sim.Device,Sim.Pins,Name,mpn,Power
1,Unpolarized capacitor,C,C3 C6 C7 C10 C13 C14 C16 C24 C25 C31 C39 C40 C43 C52 C57 C64,22pF,C_Rect_L7.0mm_W2.5mm_P5.00mm,,16,ceramic C0G,5%,,,,,,
2,Unpolarized capacitor,C,C33 C46 C58,220pF,C_Rect_L7.0mm_W2.5mm_P5.00mm,,3,ceramic C0G,5%,,,,,,
3,Unpolarized capacitor,C,C48 C49,220pF,C_Rect_L7.0mm_W2.5mm_P5.00mm,,2,film polypropylene,5%,,,,,,
4,Unpolarized capacitor,C,C28 C29,560pF,C_Rect_L7.0mm_W3.5mm_P5.00mm,,2,ceramic C0G,5%,,,,,,
5,Unpolarized capacitor,C,C34 C60 C66,10nF,C_Rect_L7.0mm_W2.5mm_P5.00mm,,3,ceramic C0G,5%,,,,,,
6,Unpolarized capacitor,C,C1 C2 C4 C5 C8 C9 C11 C12 C15 C17 C23 C35 C37 C41 C42 C44 C45 C47 C50 C51 C53 C54 C55 C56 C59 C61 C65,100nF,C_Rect_L7.0mm_W2.5mm_P5.00mm,,27,ceramic X7R,5%,,,,,,
7,Unpolarized capacitor,C,C19 C20 C26 C30,100nF,C_Rect_L7.0mm_W3.5mm_P5.00mm,,4,ceramic C0G,5%,,,,,,
8,Unpolarized capacitor,C,C18,470nF,C_Rect_L7.0mm_W3.5mm_P5.00mm,,1,ceramic X7R,5%,,,,,,
9,Polarized capacitor,C_Polarized,C21 C22 C32 C62 C63,10uF,CP_Radial_D5.0mm_L11.0mm_P2.00mm_Horizontal,,5,electrolytic,20%,50v,,,,,
10,Polarized capacitor,C_Polarized,C27,47uF,CP_Radial_D5.0mm_L11.0mm_P2.00mm_Horizontal,,1,electrolytic,20%,50v,,,,,
11,Unpolarized capacitor,C,C36 C38,4n7F,C_Rect_L7.0mm_W3.5mm_P5.00mm,,2,ceramic C0G,5%,,,,,,
12,Diode,D,D1 D2 D3 D4 D6 D8 D9 D10 D11 D12 D13 D14 D17 D18 D19 D22,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,16,,,,D,1=K 2=A,,,
13,"30V 1A Schottky Barrier Rectifier Diode, DO-41",1N5818,D5 D7 D20 D21,1N5818,D_DO-41_SOD81_P10.16mm_Horizontal,,4,,,,,,,,
14,Zener diode,D_Zener,D15 D16,6v8,D_DO-35_SOD27_P7.62mm_Horizontal,,2,6.8v zener,,,,,,,
15,"Generic connector, single row, 01x03, script generated",Conn_01x03_Pin,J10 J37,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,,2,,,,,,Zener Limiter,,
16,"Generic connector, single row, 01x04, script generated",Conn_01x04_Socket,J42 J44 J45 J46,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,,4,,,,,,,,
17,"Generic connector, single row, 01x04, script generated",Conn_01x04_Pin,J29 J30 J31 J33,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,,4,,,,,,,,
18,"Generic connector, single row, 01x06, script generated",Conn_01x06_Socket,J43 J47,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,,2,,,,,,,,
19,"Generic connector, single row, 01x06, script generated",Conn_01x06_Pin,J28 J32,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical,,2,,,,,,,,
20,"Generic connector, single row, 01x08, script generated",Conn_01x08_Socket,J40 J41,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,,2,,,,,,,,
